CustomerID,TotalRevenue,LineItemCount,OrderCount
30078,1.374000,1,1
28968,2.290000,1,1
28776,2.290000,1,1
28781,2.290000,1,1
28094,2.290000,1,1
28300,2.290000,1,1
27991,2.290000,1,1
28095,2.290000,1,1
27992,2.290000,1,1
28093,2.290000,1,1
28016,2.290000,1,1
27993,2.290000,1,1
26820,3.990000,1,1
20840,3.990000,1,1
25477,3.990000,1,1
26911,3.990000,1,1
24561,3.990000,1,1
20141,3.990000,1,1
24129,3.990000,1,1
23611,3.990000,1,1
29153,3.990000,1,1
20142,3.990000,1,1
24538,3.990000,1,1
29269,3.990000,1,1
22660,3.990000,1,1
27927,3.990000,1,1
24120,3.990000,1,1
29061,3.990000,1,1
17820,3.990000,1,1
27730,3.990000,1,1
23916,3.990000,1,1
27165,3.990000,1,1
17819,3.990000,1,1
23604,3.990000,1,1
27331,3.990000,1,1
20942,3.990000,1,1
27806,3.990000,1,1
20146,3.990000,1,1
25313,3.990000,1,1
22568,3.990000,1,1
27929,3.990000,1,1
24108,3.990000,1,1
29083,3.990000,1,1
24572,3.990000,1,1
20948,3.990000,1,1
20178,3.990000,1,1
24535,3.990000,1,1
25547,3.990000,1,1
17818,3.990000,1,1
24691,3.990000,1,1
24562,3.990000,1,1
22710,3.990000,1,1
27164,3.990000,1,1
25544,3.990000,1,1
27989,3.990000,1,1
20956,3.990000,1,1
20961,3.990000,1,1
23912,3.990000,1,1
17649,3.990000,1,1
20795,3.990000,1,1
23623,3.990000,1,1
24078,3.990000,1,1
19481,3.990000,1,1
26863,3.990000,1,1
23634,3.990000,1,1
24553,3.990000,1,1
27221,3.990000,1,1
29076,3.990000,1,1
26901,3.990000,1,1
22805,3.990000,1,1
24150,3.990000,1,1
25753,3.990000,1,1
29051,3.990000,1,1
23953,3.990000,1,1
19516,3.990000,1,1
29131,3.990000,1,1
17432,4.990000,1,1
21869,4.990000,1,1
21823,4.990000,1,1
25507,4.990000,1,1
17541,4.990000,1,1
22516,4.990000,1,1
14899,4.990000,1,1
24986,4.990000,1,1
15746,4.990000,1,1
15420,4.990000,1,1
23346,4.990000,1,1
24471,4.990000,1,1
18182,4.990000,1,1
19390,4.990000,1,1
19327,4.990000,1,1
16960,4.990000,1,1
20088,4.990000,1,1
25367,4.990000,1,1
26449,4.990000,1,1
18434,4.990000,1,1
20269,4.990000,1,1
22387,4.990000,1,1
19748,4.990000,1,1
28358,4.990000,1,1
17335,4.990000,1,1
17538,4.990000,1,1
24897,4.990000,1,1
24857,4.990000,1,1
14721,4.990000,1,1
16768,4.990000,1,1
25298,4.990000,1,1
21866,4.990000,1,1
16084,4.990000,1,1
28919,4.990000,1,1
26678,4.990000,1,1
19370,4.990000,1,1
16293,4.990000,1,1
14942,4.990000,1,1
27110,4.990000,1,1
16499,4.990000,1,1
22802,4.990000,1,1
16024,4.990000,1,1
23363,4.990000,1,1
25825,4.990000,1,1
16874,4.990000,1,1
14607,4.990000,1,1
27591,4.990000,1,1
15560,4.990000,1,1
21076,4.990000,1,1
17377,4.990000,1,1
15857,4.990000,1,1
16381,4.990000,1,1
25466,4.990000,1,1
17391,4.990000,1,1
26173,4.990000,1,1
28151,4.990000,1,1
14729,4.990000,1,1
21825,4.990000,1,1
23070,4.990000,1,1
17434,4.990000,1,1
23345,4.990000,1,1
16853,4.990000,1,1
18061,4.990000,1,1
23554,4.990000,1,1
26488,4.990000,1,1
19933,4.990000,1,1
15416,4.990000,1,1
17454,4.990000,1,1
22532,4.990000,1,1
21845,4.990000,1,1
14583,4.990000,1,1
22801,4.990000,1,1
24132,4.990000,1,1
28274,4.990000,1,1
27049,4.990000,1,1
17265,4.990000,1,1
24258,4.990000,1,1
12811,4.990000,1,1
29230,4.990000,1,1
15164,4.990000,1,1
28085,4.990000,1,1
23643,4.990000,1,1
24825,4.990000,1,1
23935,4.990000,1,1
