CustomerID,CustomerType,Recency,Frequency,Monetary,RScore,FScore,MScore,Segment
15017,Individual,374,2,1307.058200,1,4,4,Churn Risk
26655,Individual,388,2,1322.980000,1,4,4,Churn Risk
26749,Individual,365,2,1322.980000,1,4,4,Churn Risk
15860,Individual,318,2,1322.980000,1,4,4,Churn Risk
26760,Individual,321,2,1322.980000,1,4,4,Churn Risk
15834,Individual,327,2,1322.980000,1,4,4,Churn Risk
26758,Individual,324,2,1322.980000,1,4,4,Churn Risk
27299,Individual,275,2,1322.980000,2,4,4,Churn Risk
27341,Individual,259,2,1322.980000,2,4,4,Churn Risk
27366,Individual,234,2,1322.980000,2,4,4,Churn Risk
27370,Individual,236,2,1322.980000,2,4,4,Churn Risk
27354,Individual,220,2,1322.980000,2,4,4,Churn Risk
27499,Individual,233,2,1331.970000,2,4,4,Churn Risk
26774,Individual,318,2,1331.970000,1,4,4,Churn Risk
26767,Individual,310,2,1331.970000,1,4,4,Churn Risk
27339,Individual,301,2,1336.960000,1,4,4,Churn Risk
26967,Individual,329,2,1336.960000,1,4,4,Churn Risk
26666,Individual,389,2,1336.960000,1,4,4,Churn Risk
27356,Individual,237,2,1336.960000,2,4,4,Churn Risk
15557,Individual,386,2,1337.960000,1,4,4,Churn Risk
15548,Individual,367,2,1337.960000,1,4,4,Churn Risk
15276,Individual,374,2,1346.760000,1,4,4,Churn Risk
26654,Individual,379,2,1346.760000,1,4,4,Churn Risk
15562,Individual,364,2,1347.970000,1,4,4,Churn Risk
27342,Individual,258,2,1348.460000,2,4,4,Churn Risk
27371,Individual,233,2,1350.750000,2,4,4,Churn Risk
27498,Individual,226,2,1350.750000,2,4,4,Churn Risk
27340,Individual,275,2,1350.750000,2,4,4,Churn Risk
27338,Individual,304,2,1339.920000,1,4,4,Churn Risk
26757,Individual,313,2,1344.470000,1,4,4,Churn Risk
27359,Individual,214,2,1344.470000,2,4,4,Churn Risk
26748,Individual,343,2,1357.970000,1,4,4,Churn Risk
26657,Individual,379,2,1357.970000,1,4,4,Churn Risk
15554,Individual,370,2,1357.970000,1,4,4,Churn Risk
27352,Individual,244,2,1357.970000,2,4,4,Churn Risk
15558,Individual,359,2,1362.960000,1,4,4,Churn Risk
26743,Individual,343,2,1371.950000,1,4,4,Churn Risk
15555,Individual,378,2,1371.950000,1,4,4,Churn Risk
26768,Individual,314,2,1371.950000,1,4,4,Churn Risk
27353,Individual,234,2,1371.950000,2,4,4,Churn Risk
27365,Individual,224,2,1371.950000,2,4,4,Churn Risk
27500,Individual,211,2,1371.950000,2,4,4,Churn Risk
15882,Individual,289,2,1372.460000,1,4,4,Churn Risk
15553,Individual,389,2,1372.950000,1,4,4,Churn Risk
15903,Individual,238,2,1372.950000,2,4,4,Churn Risk
15890,Individual,251,2,1375.260000,2,4,4,Churn Risk
15551,Individual,393,2,1375.260000,1,4,4,Churn Risk
15561,Individual,343,2,1375.260000,1,4,4,Churn Risk
15901,Individual,241,2,1376.970000,2,4,4,Churn Risk
15862,Individual,331,2,1379.950000,1,4,4,Churn Risk
15570,Individual,336,2,1344.960000,1,4,4,Churn Risk
